nohup: ignoring input
[Resume] Loaded weights from soul_ichigo.pth!
=== Kamen Fight RL Trainer ===
Device: cpu | Games: 7800 | Roster Pool: ['nigo', 'v3', 'riderman', 'x', 'amazon']
------------------------------------------------------------
Battles: 428/7800 | Vs: x        | Win Rate (Last 50):   4.0% | Speed: 8,364 steps/s (154 fights/min) | Elapsed: 166.2s
Battles: 431/7800 | Vs: v3       | Win Rate (Last 50):   6.0% | Speed: 8,360 steps/s (154 fights/min) | Elapsed: 167.3s
Battles: 434/7800 | Vs: amazon   | Win Rate (Last 50):   8.0% | Speed: 8,361 steps/s (154 fights/min) | Elapsed: 168.5s
Battles: 437/7800 | Vs: riderman | Win Rate (Last 50):   8.0% | Speed: 8,361 steps/s (154 fights/min) | Elapsed: 169.6s
Battles: 440/7800 | Vs: nigo     | Win Rate (Last 50):   8.0% | Speed: 8,364 steps/s (154 fights/min) | Elapsed: 170.8s
Battles: 443/7800 | Vs: x        | Win Rate (Last 50):   8.0% | Speed: 8,361 steps/s (154 fights/min) | Elapsed: 171.9s
Battles: 445/7800 | Vs: nigo     | Win Rate (Last 50):   8.0% | Speed: 8,354 steps/s (154 fights/min) | Elapsed: 173.0s
Battles: 448/7800 | Vs: x        | Win Rate (Last 50):   8.0% | Speed: 8,353 steps/s (154 fights/min) | Elapsed: 174.1s
Battles: 451/7800 | Vs: v3       | Win Rate (Last 50):   8.0% | Speed: 8,355 steps/s (154 fights/min) | Elapsed: 175.3s
Battles: 454/7800 | Vs: amazon   | Win Rate (Last 50):   8.0% | Speed: 8,354 steps/s (154 fights/min) | Elapsed: 176.4s
Battles: 457/7800 | Vs: riderman | Win Rate (Last 50):   8.0% | Speed: 8,352 steps/s (154 fights/min) | Elapsed: 177.6s
Battles: 460/7800 | Vs: nigo     | Win Rate (Last 50):  10.0% | Speed: 8,351 steps/s (154 fights/min) | Elapsed: 178.8s
Battles: 463/7800 | Vs: x        | Win Rate (Last 50):  10.0% | Speed: 8,352 steps/s (154 fights/min) | Elapsed: 179.9s
Battles: 466/7800 | Vs: v3       | Win Rate (Last 50):   8.0% | Speed: 8,353 steps/s (154 fights/min) | Elapsed: 181.1s
Battles: 469/7800 | Vs: amazon   | Win Rate (Last 50):  10.0% | Speed: 8,351 steps/s (154 fights/min) | Elapsed: 182.3s
Battles: 472/7800 | Vs: riderman | Win Rate (Last 50):  10.0% | Speed: 8,343 steps/s (154 fights/min) | Elapsed: 183.7s
Battles: 475/7800 | Vs: nigo     | Win Rate (Last 50):  12.0% | Speed: 8,343 steps/s (154 fights/min) | Elapsed: 184.9s
Battles: 478/7800 | Vs: x        | Win Rate (Last 50):  14.0% | Speed: 8,343 steps/s (154 fights/min) | Elapsed: 186.0s
Battles: 481/7800 | Vs: v3       | Win Rate (Last 50):  12.0% | Speed: 8,343 steps/s (154 fights/min) | Elapsed: 187.2s
Battles: 484/7800 | Vs: amazon   | Win Rate (Last 50):  10.0% | Speed: 8,343 steps/s (154 fights/min) | Elapsed: 188.3s
Battles: 487/7800 | Vs: riderman | Win Rate (Last 50):  10.0% | Speed: 8,340 steps/s (154 fights/min) | Elapsed: 189.5s
Battles: 490/7800 | Vs: nigo     | Win Rate (Last 50):  10.0% | Speed: 8,341 steps/s (154 fights/min) | Elapsed: 190.7s
Battles: 493/7800 | Vs: x        | Win Rate (Last 50):  10.0% | Speed: 8,341 steps/s (154 fights/min) | Elapsed: 191.9s
Battles: 496/7800 | Vs: v3       | Win Rate (Last 50):  10.0% | Speed: 8,335 steps/s (154 fights/min) | Elapsed: 193.2s
Battles: 499/7800 | Vs: amazon   | Win Rate (Last 50):  10.0% | Speed: 8,332 steps/s (154 fights/min) | Elapsed: 194.4s
Battles: 502/7800 | Vs: riderman | Win Rate (Last 50):  10.0% | Speed: 8,332 steps/s (154 fights/min) | Elapsed: 195.5s
Battles: 505/7800 | Vs: nigo     | Win Rate (Last 50):  10.0% | Speed: 8,330 steps/s (154 fights/min) | Elapsed: 196.6s
Battles: 508/7800 | Vs: x        | Win Rate (Last 50):  10.0% | Speed: 8,332 steps/s (154 fights/min) | Elapsed: 197.8s
Battles: 511/7800 | Vs: v3       | Win Rate (Last 50):  10.0% | Speed: 8,329 steps/s (154 fights/min) | Elapsed: 198.9s
Battles: 514/7800 | Vs: amazon   | Win Rate (Last 50):  10.0% | Speed: 8,325 steps/s (153 fights/min) | Elapsed: 200.3s
Battles: 517/7800 | Vs: riderman | Win Rate (Last 50):  10.0% | Speed: 8,327 steps/s (154 fights/min) | Elapsed: 201.4s
Battles: 520/7800 | Vs: nigo     | Win Rate (Last 50):  10.0% | Speed: 8,326 steps/s (154 fights/min) | Elapsed: 202.5s
Battles: 523/7800 | Vs: x        | Win Rate (Last 50):  10.0% | Speed: 8,321 steps/s (153 fights/min) | Elapsed: 203.8s
Battles: 526/7800 | Vs: v3       | Win Rate (Last 50):  10.0% | Speed: 8,319 steps/s (153 fights/min) | Elapsed: 205.0s
Battles: 529/7800 | Vs: amazon   | Win Rate (Last 50):   8.0% | Speed: 8,319 steps/s (153 fights/min) | Elapsed: 206.2s
Battles: 532/7800 | Vs: riderman | Win Rate (Last 50):   8.0% | Speed: 8,317 steps/s (153 fights/min) | Elapsed: 207.3s
Battles: 535/7800 | Vs: nigo     | Win Rate (Last 50):  10.0% | Speed: 8,318 steps/s (154 fights/min) | Elapsed: 208.4s
Battles: 538/7800 | Vs: x        | Win Rate (Last 50):  10.0% | Speed: 8,318 steps/s (153 fights/min) | Elapsed: 209.6s
Battles: 541/7800 | Vs: v3       | Win Rate (Last 50):  10.0% | Speed: 8,315 steps/s (153 fights/min) | Elapsed: 210.9s
Battles: 544/7800 | Vs: amazon   | Win Rate (Last 50):  10.0% | Speed: 8,315 steps/s (153 fights/min) | Elapsed: 212.0s
Battles: 547/7800 | Vs: riderman | Win Rate (Last 50):  10.0% | Speed: 8,315 steps/s (153 fights/min) | Elapsed: 213.3s
Battles: 550/7800 | Vs: nigo     | Win Rate (Last 50):  12.0% | Speed: 8,310 steps/s (153 fights/min) | Elapsed: 214.6s
Battles: 553/7800 | Vs: x        | Win Rate (Last 50):  12.0% | Speed: 8,311 steps/s (153 fights/min) | Elapsed: 215.8s
Battles: 556/7800 | Vs: v3       | Win Rate (Last 50):  12.0% | Speed: 8,306 steps/s (153 fights/min) | Elapsed: 217.0s
Battles: 559/7800 | Vs: amazon   | Win Rate (Last 50):  10.0% | Speed: 8,308 steps/s (153 fights/min) | Elapsed: 218.3s
Battles: 562/7800 | Vs: riderman | Win Rate (Last 50):  10.0% | Speed: 8,306 steps/s (153 fights/min) | Elapsed: 219.4s
Battles: 565/7800 | Vs: nigo     | Win Rate (Last 50):  10.0% | Speed: 8,307 steps/s (153 fights/min) | Elapsed: 220.4s
Battles: 568/7800 | Vs: x        | Win Rate (Last 50):  10.0% | Speed: 8,307 steps/s (153 fights/min) | Elapsed: 221.6s
Battles: 571/7800 | Vs: v3       | Win Rate (Last 50):   8.0% | Speed: 8,303 steps/s (153 fights/min) | Elapsed: 222.8s
Battles: 574/7800 | Vs: amazon   | Win Rate (Last 50):   8.0% | Speed: 8,298 steps/s (153 fights/min) | Elapsed: 224.2s
